Time,Value
2024/07/17 00:01:56,5.48
2024/07/17 00:06:56,5.75
2024/07/17 00:11:55,5.44
2024/07/17 00:16:55,5.5
2024/07/17 00:21:55,5.42
2024/07/17 00:26:55,5.08
2024/07/17 00:31:55,4.93
2024/07/17 00:36:55,5.17
2024/07/17 00:41:55,4.89
2024/07/17 00:46:55,5.43
2024/07/17 00:51:55,5.06
2024/07/17 00:56:55,5.39
2024/07/17 01:01:55,6.45
2024/07/17 01:06:55,6.57
2024/07/17 01:11:55,6.29
2024/07/17 01:16:55,6.54
2024/07/17 01:21:55,6.78
2024/07/17 01:26:55,6.64
2024/07/17 01:31:55,6.35
2024/07/17 01:36:55,6.38
2024/07/17 01:41:55,6.57
2024/07/17 01:46:55,6.25
2024/07/17 01:51:55,6.22
2024/07/17 01:56:55,6.84
2024/07/17 02:01:55,5.97
2024/07/17 02:06:55,6.67
2024/07/17 02:11:55,6.27
2024/07/17 02:16:55,6.78
2024/07/17 02:21:55,6.06
2024/07/17 02:26:55,6.05
2024/07/17 02:31:55,6.63
2024/07/17 02:36:55,5.78
2024/07/17 02:41:55,6.18
2024/07/17 02:46:55,5.83
2024/07/17 02:51:55,5.88
2024/07/17 02:56:55,6.35
2024/07/17 03:01:55,5.97
2024/07/17 03:06:54,6.43
2024/07/17 03:11:54,6.05
2024/07/17 03:16:54,5.74
2024/07/17 03:21:54,6.04
2024/07/17 03:26:54,6.07
2024/07/17 03:31:54,6.32
2024/07/17 03:36:53,6
2024/07/17 03:41:53,6.12
2024/07/17 03:46:52,6.26
2024/07/17 03:51:52,5.93
2024/07/17 03:56:52,9.26
2024/07/17 04:01:52,6.13
2024/07/17 04:06:52,6.07
2024/07/17 04:11:52,5.64
2024/07/17 04:16:51,6.02
2024/07/17 04:21:50,5.96
2024/07/17 04:26:50,6.14
2024/07/17 04:31:50,5.89
2024/07/17 04:36:50,6.38
2024/07/17 04:41:49,9.47
2024/07/17 04:46:49,5.53
2024/07/17 04:51:49,7.59
2024/07/17 04:56:49,6.08
2024/07/17 05:01:49,6.47
2024/07/17 05:06:49,6.37
2024/07/17 05:11:49,6.26
2024/07/17 05:16:49,6.89
2024/07/17 05:21:49,6.77
2024/07/17 05:26:49,6.11
2024/07/17 05:31:49,6.27
2024/07/17 05:36:49,6.4
2024/07/17 05:41:49,6.76
2024/07/17 05:46:49,6.26
2024/07/17 05:51:48,6.57
2024/07/17 05:56:48,6.19
2024/07/17 06:01:48,6.42
2024/07/17 06:06:48,6.13
2024/07/17 06:11:48,6.86
2024/07/17 06:16:47,5.84
2024/07/17 06:21:47,6.04
2024/07/17 06:26:47,6.18
2024/07/17 06:31:46,6.34
2024/07/17 06:36:46,6.18
2024/07/17 06:41:45,6.28
2024/07/17 06:46:45,6.18
2024/07/17 06:51:45,6.2
2024/07/17 06:56:45,6.46
2024/07/17 07:01:45,6.24
2024/07/17 07:06:44,6.36
2024/07/17 07:11:44,6.22
2024/07/17 07:16:44,6.65
2024/07/17 07:21:44,6.45
2024/07/17 07:26:44,6.6
2024/07/17 07:31:44,6.5
2024/07/17 07:36:44,5.97
2024/07/17 07:41:44,6.51
2024/07/17 07:46:44,6.08
2024/07/17 07:51:44,5.99
2024/07/17 07:56:44,6.5
2024/07/17 08:01:44,6.42
2024/07/17 08:06:44,5.97
2024/07/17 08:11:44,6.74
2024/07/17 08:16:44,6.11
2024/07/17 08:21:43,6.38
2024/07/17 08:26:43,6.67
2024/07/17 08:31:43,6.21
2024/07/17 08:36:43,6.13
2024/07/17 08:41:43,5.58
2024/07/17 08:46:43,6.21
2024/07/17 08:51:42,6.14
2024/07/17 08:56:41,6.12
2024/07/17 09:01:41,6.3
2024/07/17 09:06:41,6.23
2024/07/17 09:11:41,6.49
2024/07/17 09:16:41,6.3
2024/07/17 09:21:41,5.89
2024/07/17 09:26:41,6.48
2024/07/17 09:31:41,6.26
2024/07/17 09:36:41,6.36
2024/07/17 09:41:41,3.29
2024/07/17 09:46:41,6.06
2024/07/17 09:51:41,6.37
2024/07/17 09:56:41,6.59
2024/07/17 10:01:41,5.76
2024/07/17 10:06:41,6.11
2024/07/17 10:11:40,6.11
2024/07/17 10:16:40,5.98
2024/07/17 10:21:40,4.55
2024/07/17 10:26:40,5.02
2024/07/17 10:31:40,3.36
2024/07/17 10:36:40,5.76
2024/07/17 10:41:40,5.72
2024/07/17 10:46:40,5.97
2024/07/17 10:51:40,5.69
2024/07/17 10:56:40,6.36
2024/07/17 11:01:39,6.2
2024/07/17 11:06:39,6.34
2024/07/17 11:11:39,5.92
2024/07/17 11:16:39,5.7
2024/07/17 11:21:39,6.04
2024/07/17 11:26:39,6.12
2024/07/17 11:31:39,5.68
2024/07/17 11:36:39,5.59
2024/07/17 11:41:39,4.03
2024/07/17 11:46:39,5.67
2024/07/17 11:51:38,5.72
2024/07/17 11:56:38,6.68
2024/07/17 12:01:37,5.97
2024/07/17 12:06:37,5.97
2024/07/17 12:11:37,6.12
2024/07/17 12:16:36,6.49
2024/07/17 12:21:36,5.95
2024/07/17 12:26:36,5.7
2024/07/17 12:31:35,7.02
2024/07/17 12:36:35,5.96
2024/07/17 12:41:34,5.99
2024/07/17 12:46:34,5.93
2024/07/17 12:51:33,6.18
2024/07/17 12:56:32,6.05
2024/07/17 13:01:32,5.83
2024/07/17 13:06:32,5.92
2024/07/17 13:11:32,6.63
2024/07/17 13:16:32,5.93
2024/07/17 13:21:32,5.71
2024/07/17 13:26:31,6.11
2024/07/17 13:31:31,5.17
2024/07/17 13:36:30,2.12
2024/07/17 13:41:29,5.38
2024/07/17 13:46:29,5.8
2024/07/17 13:51:29,5.89
2024/07/17 13:56:29,6.28
2024/07/17 14:01:29,6.12
2024/07/17 14:06:29,6.14
2024/07/17 14:11:29,6.09
2024/07/17 14:16:29,6.25
2024/07/17 14:21:29,6.07
2024/07/17 14:26:29,6.58
2024/07/17 14:31:28,6.16
2024/07/17 14:36:28,6.46
2024/07/17 14:41:28,6.29
2024/07/17 14:46:27,6.18
2024/07/17 14:51:27,6.11
2024/07/17 14:56:26,6.1
2024/07/17 15:01:26,6.49
2024/07/17 15:06:26,6.33
2024/07/17 15:11:26,5.88
2024/07/17 15:16:26,6.3
2024/07/17 15:21:25,6.33
2024/07/17 15:26:25,6
2024/07/17 15:31:25,5.64
2024/07/17 15:36:25,5.99
2024/07/17 15:41:24,6.3
2024/07/17 15:46:24,-1
2024/07/17 15:51:24,6.17
2024/07/17 15:56:23,6.02
2024/07/17 16:01:23,6.2
2024/07/17 16:06:23,6.18
2024/07/17 16:11:23,6.02
2024/07/17 16:16:23,6.68
2024/07/17 16:21:23,6.72
2024/07/17 16:26:23,6.81
2024/07/17 16:31:23,6.53
2024/07/17 16:36:23,7.05
2024/07/17 16:41:23,6.32
2024/07/17 16:46:23,7.3
2024/07/17 16:51:23,5.87
2024/07/17 16:56:23,6.15
2024/07/17 17:01:22,4.58
2024/07/17 17:06:22,5.29
2024/07/17 17:11:22,6.27
2024/07/17 17:16:22,4.36
2024/07/17 17:21:22,5.16
2024/07/17 17:26:22,6.3
2024/07/17 17:31:21,6.29
2024/07/17 17:36:21,6.49
2024/07/17 17:41:21,6.32
2024/07/17 17:46:21,5.89
2024/07/17 17:51:21,6.71
2024/07/17 17:56:21,6.41
2024/07/17 18:01:21,6.84
