Time,Value
2024/07/17 00:00:55,4.66
2024/07/17 00:05:55,6.09
2024/07/17 00:10:55,4.94
2024/07/17 00:15:55,3.69
2024/07/17 00:20:55,7.41
2024/07/17 00:25:55,3.05
2024/07/17 00:30:55,2.73
2024/07/17 00:35:55,3.23
2024/07/17 00:40:55,4.18
2024/07/17 00:45:55,5.69
2024/07/17 00:50:55,2.19
2024/07/17 00:55:55,2.78
2024/07/17 01:00:55,1.45
2024/07/17 01:05:55,3.51
2024/07/17 01:10:55,7.39
2024/07/17 01:15:55,7.34
2024/07/17 01:20:55,5.11
2024/07/17 01:25:54,4.46
2024/07/17 01:30:54,3.7
2024/07/17 01:35:54,3.69
2024/07/17 01:40:54,5.73
2024/07/17 01:45:54,3.6
2024/07/17 01:50:54,5.28
2024/07/17 01:55:54,7.55
2024/07/17 02:00:54,6.58
2024/07/17 02:05:54,5.02
2024/07/17 02:10:54,4.91
2024/07/17 02:15:54,7.36
2024/07/17 02:20:54,5.14
2024/07/17 02:25:54,2.11
2024/07/17 02:30:53,5.59
2024/07/17 02:35:53,4.69
2024/07/17 02:40:53,7.38
2024/07/17 02:45:53,3.08
2024/07/17 02:50:53,5.56
2024/07/17 02:55:53,5.54
2024/07/17 03:00:53,3.15
2024/07/17 03:05:53,4.49
2024/07/17 03:10:53,2.08
2024/07/17 03:15:53,5.68
2024/07/17 03:20:53,4.91
2024/07/17 03:25:53,4.86
2024/07/17 03:30:53,3.5
2024/07/17 03:35:53,4.84
2024/07/17 03:40:53,6.83
2024/07/17 03:45:53,8.7
2024/07/17 03:50:53,4.99
2024/07/17 03:55:53,-1
2024/07/17 04:00:53,7.66
2024/07/17 04:05:53,5.27
2024/07/17 04:10:53,7.69
2024/07/17 04:15:53,5.04
2024/07/17 04:20:53,4.29
2024/07/17 04:25:53,4.93
2024/07/17 04:30:53,4.63
2024/07/17 04:35:53,7.11
2024/07/17 04:40:53,3.98
2024/07/17 04:45:53,4.77
2024/07/17 04:50:53,5.61
2024/07/17 04:55:53,5.66
2024/07/17 05:00:53,7.55
2024/07/17 05:05:52,4.57
2024/07/17 05:10:52,3.83
2024/07/17 05:15:52,5.99
2024/07/17 05:20:52,3.4
2024/07/17 05:25:52,5.44
2024/07/17 05:30:52,5.51
2024/07/17 05:35:52,4.97
2024/07/17 05:40:52,5.91
2024/07/17 05:45:52,7.68
