Time,Value
2024/07/19 00:02:27,13.42
2024/07/19 00:07:26,-1
2024/07/19 00:12:26,23.45
2024/07/19 00:17:26,17.88
2024/07/19 00:22:26,11.63
2024/07/19 00:27:26,-1
2024/07/19 00:32:25,26.13
2024/07/19 00:37:25,23.14
2024/07/19 00:42:25,14.5
2024/07/19 00:47:24,14.83
2024/07/19 00:52:24,15.22
2024/07/19 00:57:24,16.11
2024/07/19 01:02:23,20.4
2024/07/19 01:07:23,15.42
2024/07/19 01:12:23,16.12
2024/07/19 01:17:23,14.29
2024/07/19 01:22:23,18.47
2024/07/19 01:27:23,14.06
2024/07/19 01:32:23,-1
2024/07/19 01:37:23,9.27
2024/07/19 01:42:22,5.61
2024/07/19 01:47:22,12.97
2024/07/19 01:52:21,13.47
2024/07/19 01:57:21,14.17
2024/07/19 02:02:21,17
2024/07/19 02:07:20,18.42
2024/07/19 02:12:19,19.04
2024/07/19 02:17:19,16.06
2024/07/19 02:22:19,17.72
2024/07/19 02:27:19,14.35
2024/07/19 02:32:18,15.48
2024/07/19 02:37:17,18.72
2024/07/19 02:42:17,10.18
2024/07/19 02:47:17,12.78
2024/07/19 02:52:17,15.5
2024/07/19 02:57:17,20.33
2024/07/19 03:02:17,14.14
2024/07/19 03:07:17,15.66
2024/07/19 03:12:17,11.29
2024/07/19 03:17:17,13.23
2024/07/19 03:22:17,11.4
2024/07/19 03:27:17,14.41
2024/07/19 03:32:16,12.19
2024/07/19 03:37:16,16.4
2024/07/19 03:42:16,-1
2024/07/19 03:47:15,15.13
2024/07/19 03:52:15,14.96
2024/07/19 03:57:15,18.21
2024/07/19 04:02:15,-1
2024/07/19 04:07:15,13.7
2024/07/19 04:12:15,17.62
2024/07/19 04:17:14,13.66
2024/07/19 04:22:13,-1
2024/07/19 04:27:12,14.22
2024/07/19 04:32:12,13.66
2024/07/19 04:37:12,23.33
2024/07/19 04:42:11,16.41
2024/07/19 04:47:10,17.29
2024/07/19 04:52:10,15.24
2024/07/19 04:57:09,18.12
2024/07/19 05:02:08,21.39
2024/07/19 05:07:08,15.13
2024/07/19 05:12:08,15.39
2024/07/19 05:17:08,15.14
2024/07/19 05:22:08,15.42
2024/07/19 05:27:08,-1
2024/07/19 05:32:08,15.56
2024/07/19 05:37:08,23.19
2024/07/19 05:42:08,21.1
2024/07/19 05:47:08,18.04
2024/07/19 05:52:08,15.28
2024/07/19 05:57:08,13.95
2024/07/19 06:02:08,23.71
2024/07/19 06:07:08,14.77
2024/07/19 06:12:08,13.91
2024/07/19 06:17:08,10.89
2024/07/19 06:22:08,9.68
2024/07/19 06:27:08,20.93
2024/07/19 06:32:07,15.01
2024/07/19 06:37:07,18.12
2024/07/19 06:42:07,19
2024/07/19 06:47:07,12.71
2024/07/19 06:52:07,24.45
2024/07/19 06:57:06,13.24
2024/07/19 07:02:05,13.39
2024/07/19 07:07:05,17.38
2024/07/19 07:12:04,14.86
2024/07/19 07:17:04,16.06
2024/07/19 07:22:04,14.32
2024/07/19 07:27:04,9.74
2024/07/19 07:32:04,14.74
2024/07/19 07:37:04,21.43
2024/07/19 07:42:03,-1
2024/07/19 07:47:02,14.32
2024/07/19 07:52:02,-1
2024/07/19 07:57:01,21.49
2024/07/19 08:02:01,12.47
2024/07/19 08:07:01,14.54
2024/07/19 08:12:01,22.92
2024/07/19 08:17:01,13.68
2024/07/19 08:22:01,17.92
2024/07/19 08:27:01,24.61
2024/07/19 08:32:01,10.81
2024/07/19 08:37:01,17.5
2024/07/19 08:42:01,11.71
2024/07/19 08:47:01,14.29
2024/07/19 08:52:01,15.3
2024/07/19 08:57:01,8.99
2024/07/19 09:02:01,9.8
2024/07/19 09:07:00,9.12
2024/07/19 09:12:00,13.32
2024/07/19 09:16:59,14.42
2024/07/19 09:21:59,9.22
2024/07/19 09:26:59,13.71
2024/07/19 09:31:59,14.14
2024/07/19 09:36:59,16.27
2024/07/19 09:41:59,12.57
2024/07/19 09:46:59,22.31
2024/07/19 09:51:59,14.46
2024/07/19 09:56:59,12.27
2024/07/19 10:01:59,12.23
2024/07/19 10:06:59,12.45
2024/07/19 10:11:59,-1
2024/07/19 10:16:58,23.32
2024/07/19 10:21:57,3.24
2024/07/19 10:26:57,23.17
2024/07/19 10:31:57,7.58
2024/07/19 10:36:57,12.34
2024/07/19 10:41:57,21.52
2024/07/19 10:46:56,18.07
2024/07/19 10:51:56,23.23
2024/07/19 10:56:56,15.83
2024/07/19 11:01:56,14.55
2024/07/19 11:06:55,12.26
2024/07/19 11:11:55,13
2024/07/19 11:16:55,16.91
2024/07/19 11:21:55,14.95
2024/07/19 11:26:55,16.97
2024/07/19 11:31:55,18.87
2024/07/19 11:36:55,12.06
2024/07/19 11:41:55,14.03
2024/07/19 11:46:54,17.64
2024/07/19 11:51:54,28.67
2024/07/19 11:56:54,16.59
2024/07/19 12:01:54,-1
2024/07/19 12:06:54,16.77
2024/07/19 12:11:54,18.43
2024/07/19 12:16:54,13.1
2024/07/19 12:21:53,15.82
2024/07/19 12:26:53,12.6
2024/07/19 12:31:52,10.29
2024/07/19 12:36:52,8.03
2024/07/19 12:41:51,9.07
2024/07/19 12:46:50,18.15
2024/07/19 12:51:49,14.1
2024/07/19 12:56:48,11.69
2024/07/19 13:01:47,-1
2024/07/19 13:06:46,-1
2024/07/19 13:11:46,20.81
2024/07/19 13:16:46,12.72
2024/07/19 13:21:46,12.29
2024/07/19 13:26:46,11.27
2024/07/19 13:31:46,10.58
2024/07/19 13:36:46,8.44
2024/07/19 13:41:46,12.75
2024/07/19 13:46:46,9.97
2024/07/19 13:51:46,16.14
2024/07/19 13:56:46,9.78
2024/07/19 14:01:46,-1
2024/07/19 14:06:45,15.06
2024/07/19 14:11:45,9.82
2024/07/19 14:16:45,-1
2024/07/19 14:21:45,-1
2024/07/19 14:26:45,12.92
2024/07/19 14:31:45,8.94
2024/07/19 14:36:45,10.41
2024/07/19 14:41:44,16.78
2024/07/19 14:46:43,8.72
2024/07/19 14:51:43,10.45
2024/07/19 14:56:43,11.38
2024/07/19 15:01:43,8.72
2024/07/19 15:06:43,10.04
2024/07/19 15:11:43,12.23
2024/07/19 15:16:43,14.25
2024/07/19 15:21:43,12.54
2024/07/19 15:26:43,6.78
2024/07/19 15:31:43,11.81
2024/07/19 15:36:43,8.97
2024/07/19 15:41:43,11.98
2024/07/19 15:46:43,11.61
2024/07/19 15:51:43,13.33
2024/07/19 15:56:43,16.89
2024/07/19 16:01:43,13.83
2024/07/19 16:06:43,13.73
2024/07/19 16:11:43,16.2
2024/07/19 16:16:43,12.62
2024/07/19 16:21:43,11.98
2024/07/19 16:26:43,13.17
2024/07/19 16:31:43,11.5
2024/07/19 16:36:42,21.61
2024/07/19 16:41:42,13.73
2024/07/19 16:46:42,11.99
2024/07/19 16:51:42,16.1
2024/07/19 16:56:42,10.18
2024/07/19 17:01:42,10.53
2024/07/19 17:06:41,14.91
2024/07/19 17:11:41,18.89
2024/07/19 17:16:41,10.58
2024/07/19 17:21:41,11.07
2024/07/19 17:26:41,9.61
2024/07/19 17:31:41,11.87
2024/07/19 17:36:41,10.92
2024/07/19 17:41:41,11.5
2024/07/19 17:46:41,12.99
2024/07/19 17:51:41,18.66
2024/07/19 17:56:41,10.75
2024/07/19 18:01:40,20.21
2024/07/19 18:06:40,22.99
2024/07/19 18:11:40,20.1
2024/07/19 18:16:40,17.63
2024/07/19 18:21:40,19.29
2024/07/19 18:26:40,15.41
2024/07/19 18:31:40,11.68
2024/07/19 18:36:40,24.24
2024/07/19 18:41:40,14.77
2024/07/19 18:46:40,17.74
2024/07/19 18:51:40,-1
2024/07/19 18:56:40,14.96
2024/07/19 19:01:40,12.51
2024/07/19 19:06:40,25.7
2024/07/19 19:11:40,17.11
2024/07/19 19:16:39,15.13
2024/07/19 19:21:39,20.03
