Time,Download
2024/07/17 00:01:56,5.48
2024/07/17 00:06:56,5.75
2024/07/17 00:11:55,5.44
2024/07/17 00:16:55,5.5
2024/07/17 00:21:55,5.42
2024/07/17 00:26:55,5.08
2024/07/17 00:31:55,4.93
2024/07/17 00:36:55,5.17
2024/07/17 00:41:55,4.89
2024/07/17 00:46:55,5.43
2024/07/17 00:51:55,5.06
2024/07/17 00:56:55,5.39
2024/07/17 01:01:55,6.45
2024/07/17 01:06:55,6.57
2024/07/17 01:11:55,6.29
2024/07/17 01:16:55,6.54
2024/07/17 01:21:55,6.78
2024/07/17 01:26:55,6.64
2024/07/17 01:31:55,6.35
2024/07/17 01:36:55,6.38
2024/07/17 01:41:55,6.57
2024/07/17 01:46:55,6.25
2024/07/17 01:51:55,6.22
2024/07/17 01:56:55,6.84
2024/07/17 02:01:55,5.97
2024/07/17 02:06:55,6.67
2024/07/17 02:11:55,6.27
2024/07/17 02:16:55,6.78
2024/07/17 02:21:55,6.06
2024/07/17 02:26:55,6.05
2024/07/17 02:31:55,6.63
2024/07/17 02:36:55,5.78
2024/07/17 02:41:55,6.18
2024/07/17 02:46:55,5.83
2024/07/17 02:51:55,5.88
2024/07/17 02:56:55,6.35
2024/07/17 03:01:55,5.97
2024/07/17 03:06:54,6.43
2024/07/17 03:11:54,6.05
2024/07/17 03:16:54,5.74
2024/07/17 03:21:54,6.04
2024/07/17 03:26:54,6.07
2024/07/17 03:31:54,6.32
2024/07/17 03:36:53,6
2024/07/17 03:41:53,6.12
2024/07/17 03:46:52,6.26
2024/07/17 03:51:52,5.93
2024/07/17 03:56:52,9.26
2024/07/17 04:01:52,6.13
2024/07/17 04:06:52,6.07
2024/07/17 04:11:52,5.64
2024/07/17 04:16:51,6.02
2024/07/17 04:21:50,5.96
2024/07/17 04:26:50,6.14
2024/07/17 04:31:50,5.89
2024/07/17 04:36:50,6.38
2024/07/17 04:41:49,9.47
2024/07/17 04:46:49,5.53
2024/07/17 04:51:49,7.59
2024/07/17 04:56:49,6.08
2024/07/17 05:01:49,6.47
2024/07/17 05:06:49,6.37
2024/07/17 05:11:49,6.26
2024/07/17 05:16:49,6.89
2024/07/17 05:21:49,6.77
2024/07/17 05:26:49,6.11
2024/07/17 05:31:49,6.27
2024/07/17 05:36:49,6.4
2024/07/17 05:41:49,6.76
2024/07/17 05:46:49,6.26
2024/07/17 05:51:48,6.57
2024/07/17 05:56:48,6.19
2024/07/17 06:01:48,6.42
2024/07/17 06:06:48,6.13
2024/07/17 06:11:48,6.86
2024/07/17 06:16:47,5.84
2024/07/17 06:21:47,6.04
2024/07/17 06:26:47,6.18
2024/07/17 06:31:46,6.34
2024/07/17 06:36:46,6.18
2024/07/17 06:41:45,6.28
2024/07/17 06:46:45,6.18
2024/07/17 06:51:45,6.2
2024/07/17 06:56:45,6.46
2024/07/17 07:01:45,6.24
2024/07/17 07:06:44,6.36
2024/07/17 07:11:44,6.22
2024/07/17 07:16:44,6.65
2024/07/17 07:21:44,6.45
2024/07/17 07:26:44,6.6
2024/07/17 07:31:44,6.5
2024/07/17 07:36:44,5.97
2024/07/17 07:41:44,6.51
2024/07/17 07:46:44,6.08
2024/07/17 07:51:44,5.99
2024/07/17 07:56:44,6.5
2024/07/17 08:01:44,6.42
2024/07/17 08:06:44,5.97
2024/07/17 08:11:44,6.74
2024/07/17 08:16:44,6.11
2024/07/17 08:21:43,6.38
2024/07/17 08:26:43,6.67
2024/07/17 08:31:43,6.21
2024/07/17 08:36:43,6.13
2024/07/17 08:41:43,5.58
2024/07/17 08:46:43,6.21
2024/07/17 08:51:42,6.14
2024/07/17 08:56:41,6.12
2024/07/17 09:01:41,6.3
2024/07/17 09:06:41,6.23
2024/07/17 09:11:41,6.49
2024/07/17 09:16:41,6.3
2024/07/17 09:21:41,5.89
2024/07/17 09:26:41,6.48
2024/07/17 09:31:41,6.26
2024/07/17 09:36:41,6.36
2024/07/17 09:41:41,3.29
2024/07/17 09:46:41,6.06
2024/07/17 09:51:41,6.37
2024/07/17 09:56:41,6.59
2024/07/17 10:01:41,5.76
2024/07/17 10:06:41,6.11
2024/07/17 10:11:40,6.11
2024/07/17 10:16:40,5.98
2024/07/17 10:21:40,4.55
2024/07/17 10:26:40,5.02
