Time,Value
2024/07/22 00:01:05,13.77
2024/07/22 00:06:05,15.82
2024/07/22 00:11:05,14.55
2024/07/22 00:16:05,15.19
2024/07/22 00:21:05,15.54
2024/07/22 00:26:05,14.99
2024/07/22 00:31:05,15.76
2024/07/22 00:36:05,14.73
2024/07/22 00:41:05,13.97
2024/07/22 00:46:05,14.66
2024/07/22 00:51:04,15.19
2024/07/22 00:56:04,15.49
2024/07/22 01:01:04,15.34
2024/07/22 01:06:04,14.97
2024/07/22 01:11:03,13.31
2024/07/22 01:16:02,15.91
2024/07/22 01:21:02,15.4
2024/07/22 01:26:02,16.16
2024/07/22 01:31:02,15.66
2024/07/22 01:36:02,13.26
2024/07/22 01:41:01,15.59
2024/07/22 01:46:01,14.12
2024/07/22 01:51:01,15.29
2024/07/22 01:56:01,15.36
2024/07/22 02:01:01,14.75
2024/07/22 02:06:01,15.89
2024/07/22 02:11:01,14.81
2024/07/22 02:16:01,15.04
2024/07/22 02:21:01,15.54
2024/07/22 02:26:01,15.52
2024/07/22 02:31:01,15.65
2024/07/22 02:36:01,14.35
2024/07/22 02:41:01,14.94
2024/07/22 02:46:01,14.9
2024/07/22 02:51:00,15.5
2024/07/22 02:56:00,15.57
2024/07/22 03:01:00,15.33
2024/07/22 03:06:00,15.55
2024/07/22 03:11:00,16.13
2024/07/22 03:16:00,14.49
2024/07/22 03:21:00,15.18
2024/07/22 03:26:00,15.37
2024/07/22 03:31:00,14.57
2024/07/22 03:36:00,14.77
2024/07/22 03:41:00,14.76
2024/07/22 03:45:59,14.97
2024/07/22 03:50:59,15.12
2024/07/22 03:55:59,14.46
2024/07/22 04:00:59,15.21
2024/07/22 04:05:59,15.3
2024/07/22 04:10:59,14.85
2024/07/22 04:15:58,15.18
2024/07/22 04:20:57,14.84
2024/07/22 04:25:57,15.24
2024/07/22 04:30:57,14.66
2024/07/22 04:35:57,15.25
2024/07/22 04:40:57,14.43
2024/07/22 04:45:57,13.85
2024/07/22 04:50:57,14.03
2024/07/22 04:55:57,14.65
2024/07/22 05:00:56,14.98
2024/07/22 05:05:56,15.19
2024/07/22 05:10:55,14.81
2024/07/22 05:15:54,14.02
2024/07/22 05:20:53,-1
2024/07/22 05:25:53,-1
2024/07/22 05:30:53,-1
2024/07/22 05:35:53,-1
2024/07/22 05:40:53,14.32
2024/07/22 05:45:53,14.62
2024/07/22 05:50:53,14.06
2024/07/22 05:55:53,15.58
2024/07/22 06:00:53,15.18
2024/07/22 06:05:53,14.71
2024/07/22 06:10:53,14.12
2024/07/22 06:15:52,14.12
2024/07/22 06:20:52,13.08
2024/07/22 06:25:52,14.77
2024/07/22 06:30:52,15.39
2024/07/22 06:35:52,14.97
2024/07/22 06:40:52,15.12
2024/07/22 06:45:52,14.6
2024/07/22 06:50:52,15.16
2024/07/22 06:55:51,15.31
2024/07/22 07:00:51,15.69
2024/07/22 07:05:51,15.39
2024/07/22 07:10:51,14.29
2024/07/22 07:15:51,15.11
2024/07/22 07:20:51,14.22
2024/07/22 07:25:51,14.73
2024/07/22 07:30:51,13.82
2024/07/22 07:35:51,14
2024/07/22 07:40:51,14.99
2024/07/22 07:45:51,13.25
2024/07/22 07:50:50,15.06
2024/07/22 07:55:50,14.99
2024/07/22 08:00:50,14.58
2024/07/22 08:05:50,14.75
2024/07/22 08:10:50,14.28
2024/07/22 08:15:50,13.07
2024/07/22 08:20:50,13.79
2024/07/22 08:25:50,14.83
2024/07/22 08:30:49,14.21
2024/07/22 08:35:49,13.44
2024/07/22 08:40:49,14.7
2024/07/22 08:45:49,14.71
2024/07/22 08:50:49,12.84
2024/07/22 08:55:48,14.1
2024/07/22 09:00:47,13.43
2024/07/22 09:05:47,10.17
2024/07/22 09:10:47,10.41
2024/07/22 09:15:47,10.31
2024/07/22 09:20:47,10.89
2024/07/22 09:25:47,10.2
