Time,Latency
2024/07/16 23:41:57,18
2024/07/16 23:41:58,85
2024/07/16 23:41:59,135
2024/07/16 23:42:00,237
2024/07/16 23:42:01,207
2024/07/16 23:42:02,421
2024/07/16 23:42:03,406
2024/07/16 23:42:04,457
2024/07/16 23:42:05,451
2024/07/16 23:42:06,548
2024/07/16 23:42:07,627
2024/07/16 23:42:08,198
2024/07/16 23:42:09,21
2024/07/16 23:42:10,11
2024/07/16 23:42:11,14
2024/07/16 23:42:12,11
2024/07/16 23:42:13,13
2024/07/16 23:42:14,13
2024/07/16 23:42:15,13
2024/07/16 23:42:16,14
2024/07/16 23:42:17,11
2024/07/16 23:42:18,11
2024/07/16 23:42:19,11
2024/07/16 23:42:20,11
2024/07/16 23:42:21,13
2024/07/16 23:42:22,27
2024/07/16 23:42:23,11
2024/07/16 23:42:24,13
2024/07/16 23:42:25,18
2024/07/16 23:42:26,15
2024/07/16 23:42:27,12
2024/07/16 23:42:28,22
2024/07/16 23:42:29,19
2024/07/16 23:42:30,18
2024/07/16 23:42:31,14
2024/07/16 23:42:32,11
2024/07/16 23:42:33,12
2024/07/16 23:42:34,11
2024/07/16 23:42:35,12
2024/07/16 23:42:36,11
2024/07/16 23:42:37,11
2024/07/16 23:42:38,14
2024/07/16 23:42:39,13
2024/07/16 23:42:40,11
2024/07/16 23:42:41,13
2024/07/16 23:42:42,21
2024/07/16 23:42:43,14
2024/07/16 23:42:44,11
2024/07/16 23:42:45,11
2024/07/16 23:42:46,10
2024/07/16 23:42:47,11
2024/07/16 23:42:48,11
2024/07/16 23:42:49,13
2024/07/16 23:42:50,18
2024/07/16 23:42:51,20
2024/07/16 23:42:52,32
2024/07/16 23:42:53,15
2024/07/16 23:42:54,23
2024/07/16 23:42:55,26
2024/07/16 23:42:56,19
2024/07/16 23:42:57,12
2024/07/16 23:42:58,15
2024/07/16 23:42:59,12
2024/07/16 23:43:00,14
2024/07/16 23:43:01,10
2024/07/16 23:43:02,13
2024/07/16 23:43:03,14
2024/07/16 23:43:04,12
2024/07/16 23:43:05,13
2024/07/16 23:43:06,12
2024/07/16 23:43:07,11
2024/07/16 23:43:08,16
2024/07/16 23:43:09,16
2024/07/16 23:43:10,11
2024/07/16 23:43:11,15
2024/07/16 23:43:12,14
2024/07/16 23:43:13,11
2024/07/16 23:43:14,11
2024/07/16 23:43:15,11
2024/07/16 23:43:16,11
2024/07/16 23:43:17,11
2024/07/16 23:43:18,12
2024/07/16 23:43:19,11
2024/07/16 23:43:20,21
2024/07/16 23:43:21,11
2024/07/16 23:43:22,11
2024/07/16 23:43:23,11
2024/07/16 23:43:24,15
2024/07/16 23:43:25,14
2024/07/16 23:43:26,11
2024/07/16 23:43:27,13
2024/07/16 23:43:28,16
2024/07/16 23:43:29,15
2024/07/16 23:43:30,11
2024/07/16 23:43:31,11
2024/07/16 23:43:32,12
2024/07/16 23:43:33,12
2024/07/16 23:43:34,18
2024/07/16 23:43:35,14
2024/07/16 23:43:36,11
2024/07/16 23:43:37,11
2024/07/16 23:43:38,14
2024/07/16 23:43:39,17
2024/07/16 23:43:40,11
2024/07/16 23:43:41,12
2024/07/16 23:43:42,14
2024/07/16 23:43:43,12
2024/07/16 23:43:44,11
2024/07/16 23:43:45,13
2024/07/16 23:43:46,21
2024/07/16 23:43:47,12
2024/07/16 23:43:48,14
2024/07/16 23:43:49,11
2024/07/16 23:43:50,11
2024/07/16 23:43:51,20
2024/07/16 23:43:52,11
2024/07/16 23:43:53,13
2024/07/16 23:43:54,17
2024/07/16 23:43:55,11
2024/07/16 23:43:56,13
2024/07/16 23:43:57,14
2024/07/16 23:43:58,13
2024/07/16 23:43:59,18
2024/07/16 23:44:00,27
2024/07/16 23:44:01,33
2024/07/16 23:44:02,36
2024/07/16 23:44:03,24
2024/07/16 23:44:03,11
2024/07/16 23:44:04,11
2024/07/16 23:44:05,18
2024/07/16 23:44:06,11
2024/07/16 23:44:07,12
2024/07/16 23:44:08,14
2024/07/16 23:44:09,12
2024/07/16 23:44:10,12
2024/07/16 23:44:11,13
2024/07/16 23:44:12,12
2024/07/16 23:44:13,13
2024/07/16 23:44:14,11
2024/07/16 23:44:15,25
2024/07/16 23:44:16,18
2024/07/16 23:44:17,13
