Time,Value
2024/07/22 00:00:00,12
2024/07/22 00:00:01,14
2024/07/22 00:00:02,10
2024/07/22 00:00:03,11
2024/07/22 00:00:03,11
2024/07/22 00:00:04,11
2024/07/22 00:00:05,10
2024/07/22 00:00:06,11
2024/07/22 00:00:07,12
2024/07/22 00:00:08,10
2024/07/22 00:00:09,10
2024/07/22 00:00:10,14
2024/07/22 00:00:11,12
2024/07/22 00:00:12,11
2024/07/22 00:00:13,10
2024/07/22 00:00:14,11
2024/07/22 00:00:15,13
2024/07/22 00:00:16,11
2024/07/22 00:00:17,12
2024/07/22 00:00:18,10
2024/07/22 00:00:19,15
2024/07/22 00:00:20,12
2024/07/22 00:00:21,13
2024/07/22 00:00:22,11
2024/07/22 00:00:23,11
2024/07/22 00:00:24,13
2024/07/22 00:00:25,12
2024/07/22 00:00:26,11
2024/07/22 00:00:27,11
2024/07/22 00:00:28,11
2024/07/22 00:00:29,10
2024/07/22 00:00:30,12
2024/07/22 00:00:31,11
2024/07/22 00:00:32,13
2024/07/22 00:00:33,11
2024/07/22 00:00:34,12
2024/07/22 00:00:35,15
2024/07/22 00:00:36,16
2024/07/22 00:00:37,12
2024/07/22 00:00:38,10
2024/07/22 00:00:39,11
2024/07/22 00:00:40,12
2024/07/22 00:00:41,14
2024/07/22 00:00:42,13
2024/07/22 00:00:42,12
2024/07/22 00:00:43,14
2024/07/22 00:00:44,13
2024/07/22 00:00:45,12
2024/07/22 00:00:46,11
2024/07/22 00:00:47,13
2024/07/22 00:00:48,11
2024/07/22 00:00:49,10
2024/07/22 00:00:50,12
2024/07/22 00:00:51,11
2024/07/22 00:00:52,10
2024/07/22 00:00:52,11
2024/07/22 00:00:53,10
2024/07/22 00:00:54,10
2024/07/22 00:00:55,11
2024/07/22 00:00:56,11
2024/07/22 00:00:57,11
2024/07/22 00:00:58,14
2024/07/22 00:00:59,11
2024/07/22 00:01:00,11
2024/07/22 00:01:01,11
2024/07/22 00:01:02,11
2024/07/22 00:01:03,11
2024/07/22 00:01:04,13
2024/07/22 00:01:05,18
2024/07/22 00:01:06,91
2024/07/22 00:01:07,84
2024/07/22 00:01:08,95
2024/07/22 00:01:09,74
2024/07/22 00:01:10,60
2024/07/22 00:01:11,86
2024/07/22 00:01:12,38
2024/07/22 00:01:13,73
2024/07/22 00:01:14,118
2024/07/22 00:01:15,178
2024/07/22 00:01:16,216
2024/07/22 00:01:17,351
2024/07/22 00:01:18,640
