Time,Download
2024/07/17 23:59:51,5.62
2024/07/18 00:04:50,3.54
2024/07/18 00:09:49,6.77
2024/07/18 00:14:48,11.96
2024/07/18 00:19:47,9.83
2024/07/18 00:24:46,10.48
2024/07/18 00:29:45,11.56
2024/07/18 00:34:44,12.11
2024/07/18 00:39:43,9.94
2024/07/18 00:44:43,10.34
2024/07/18 00:49:42,10.79
2024/07/18 00:54:42,10.42
2024/07/18 00:59:42,13.67
2024/07/18 01:04:42,2.7
2024/07/18 01:09:42,2.52
2024/07/18 01:14:41,13.02
2024/07/18 01:19:41,11.26
2024/07/18 01:24:41,12.41
2024/07/18 01:29:41,10.35
2024/07/18 01:34:41,6.35
2024/07/18 01:39:40,9.94
2024/07/18 01:44:40,10.93
2024/07/18 01:49:40,11.19
2024/07/18 01:54:40,13.34
2024/07/18 01:59:40,10.15
2024/07/18 02:04:40,10.13
2024/07/18 02:09:39,12.05
2024/07/18 02:14:39,12.17
2024/07/18 02:19:39,13.33
2024/07/18 02:24:39,11.04
2024/07/18 02:29:39,12.57
2024/07/18 02:34:38,13.74
2024/07/18 02:39:38,10.52
2024/07/18 02:44:38,12.28
2024/07/18 02:49:38,12.9
2024/07/18 02:54:38,11.35
2024/07/18 02:59:38,9.87
2024/07/18 03:04:37,9.63
2024/07/18 03:09:37,10.84
2024/07/18 03:14:37,10.54
2024/07/18 03:19:37,11.43
2024/07/18 03:24:37,11.75
2024/07/18 03:29:37,11.68
2024/07/18 03:34:37,7.59
2024/07/18 03:39:36,12.73
2024/07/18 03:44:36,10.04
2024/07/18 03:49:36,11.42
2024/07/18 03:54:35,12.62
2024/07/18 03:59:35,13.82
2024/07/18 04:04:35,11.29
2024/07/18 04:09:34,12.49
2024/07/18 04:14:34,11.84
2024/07/18 04:19:34,14.82
2024/07/18 04:24:34,13.48
2024/07/18 04:29:34,11.17
2024/07/18 04:34:33,10.33
2024/07/18 04:39:33,8.78
2024/07/18 04:44:33,6.65
2024/07/18 04:49:33,10.34
2024/07/18 04:54:33,10.82
2024/07/18 04:59:33,7.25
2024/07/18 05:04:32,8.09
2024/07/18 05:09:31,6.9
2024/07/18 05:14:31,6.62
2024/07/18 05:19:31,7.41
2024/07/18 05:24:31,5.84
2024/07/18 05:29:31,7.27
2024/07/18 05:34:31,7.73
2024/07/18 05:39:31,8.88
2024/07/18 05:44:31,15.4
2024/07/18 05:49:30,13.96
2024/07/18 05:54:29,10.48
2024/07/18 05:59:29,13.94
2024/07/18 06:04:29,13.32
2024/07/18 06:09:29,10.44
2024/07/18 06:14:29,11.3
2024/07/18 06:19:29,13.07
2024/07/18 06:24:29,12.93
2024/07/18 06:29:29,13.91
2024/07/18 06:34:29,14.04
2024/07/18 06:39:29,14.85
2024/07/18 06:44:29,8.01
2024/07/18 06:49:29,10.52
2024/07/18 06:54:29,11.16
2024/07/18 06:59:29,7.11
2024/07/18 07:04:29,12.82
2024/07/18 07:09:28,14.45
2024/07/18 07:14:28,16.39
2024/07/18 07:19:28,5.81
2024/07/18 07:24:28,12.84
2024/07/18 07:29:28,12.44
2024/07/18 07:34:28,14.56
2024/07/18 07:39:27,14.59
2024/07/18 07:44:26,12.55
2024/07/18 07:49:26,17.34
2024/07/18 07:54:25,16.85
2024/07/18 07:59:25,18.11
2024/07/18 08:04:25,13.83
2024/07/18 08:09:25,13.82
2024/07/18 08:14:25,17.73
2024/07/18 08:19:24,13.16
2024/07/18 08:24:24,13.25
2024/07/18 08:29:24,12.42
2024/07/18 08:34:24,14.13
2024/07/18 08:39:23,13.75
2024/07/18 08:44:23,12.66
2024/07/18 08:49:23,11.98
2024/07/18 08:54:23,8.39
2024/07/18 08:59:23,7.24
2024/07/18 09:04:23,11.1
2024/07/18 09:09:22,9.79
2024/07/18 09:14:21,4.27
2024/07/18 09:19:20,9.8
2024/07/18 09:24:19,9.79
2024/07/18 09:29:18,11.25
2024/07/18 09:34:17,13.01
2024/07/18 09:39:16,12.66
2024/07/18 09:44:16,12.82
2024/07/18 09:49:16,12.62
2024/07/18 09:54:15,14.73
2024/07/18 09:59:15,13.07
2024/07/18 10:04:15,12.87
2024/07/18 10:09:15,10.22
2024/07/18 10:14:15,14.62
2024/07/18 10:19:15,9.47
2024/07/18 10:24:15,11.66
2024/07/18 10:29:15,9.57
2024/07/18 10:34:15,5.87
2024/07/18 10:39:14,9.71
2024/07/18 10:44:13,10.21
2024/07/18 10:49:13,13.18
2024/07/18 10:54:13,8.79
2024/07/18 10:59:13,10.07
2024/07/18 11:04:12,7.29
2024/07/18 11:09:12,7.61
2024/07/18 11:14:11,11.94
2024/07/18 11:19:11,11.28
2024/07/18 11:24:11,10.33
2024/07/18 11:29:11,9.18
2024/07/18 11:34:11,12.98
2024/07/18 11:39:11,12.32
2024/07/18 11:44:11,6.81
2024/07/18 11:49:11,13.56
2024/07/18 11:54:11,10.77
2024/07/18 11:59:10,11.61
2024/07/18 12:04:10,6.61
2024/07/18 12:09:10,9.87
2024/07/18 12:14:09,8.64
2024/07/18 12:19:09,12.36
2024/07/18 12:24:09,6.27
2024/07/18 12:29:09,6.73
2024/07/18 12:34:09,7.78
2024/07/18 12:39:09,9.71
2024/07/18 12:44:09,9.9
2024/07/18 12:49:08,10.11
2024/07/18 12:54:08,15.72
2024/07/18 12:59:07,13.16
2024/07/18 13:04:07,10.11
2024/07/18 13:09:07,12.51
2024/07/18 13:14:07,7.05
2024/07/18 13:19:07,6.27
2024/07/18 13:24:07,10.16
2024/07/18 13:29:07,6.47
2024/07/18 13:34:07,8.79
2024/07/18 13:39:07,8.15
2024/07/18 13:44:07,16.01
2024/07/18 13:49:07,8.26
2024/07/18 13:54:07,10.89
2024/07/18 13:59:07,9.69
2024/07/18 14:04:07,9.08
2024/07/18 14:09:07,10.18
2024/07/18 14:14:06,12.5
2024/07/18 14:19:06,13.15
2024/07/18 14:24:06,10.54
2024/07/18 14:29:06,5.86
2024/07/18 14:34:06,10.41
2024/07/18 14:39:06,8.18
2024/07/18 14:44:05,3.5
2024/07/18 14:49:05,6.58
2024/07/18 14:54:05,6.28
2024/07/18 14:59:04,6.22
2024/07/18 15:04:03,2.52
2024/07/18 15:09:03,6.39
2024/07/18 15:14:03,13.33
2024/07/18 15:19:03,8.39
2024/07/18 15:24:02,13.23
2024/07/18 15:29:02,11.66
2024/07/18 15:34:01,12.82
2024/07/18 15:39:01,10.22
2024/07/18 15:44:01,9.32
2024/07/18 15:49:01,6.53
2024/07/18 15:54:01,10.2
2024/07/18 15:59:01,4.66
2024/07/18 16:04:01,9.35
2024/07/18 16:09:01,7.4
2024/07/18 16:14:01,8.72
2024/07/18 16:19:00,10.25
2024/07/18 16:24:00,9.78
2024/07/18 16:29:00,12
2024/07/18 16:34:00,7.54
2024/07/18 16:39:00,12.88
2024/07/18 16:44:00,10.74
2024/07/18 16:49:00,5.35
2024/07/18 16:53:59,8.81
2024/07/18 16:58:59,8.77
2024/07/18 17:03:59,9.84
2024/07/18 17:08:58,9.11
2024/07/18 17:13:58,14.35
2024/07/18 17:18:57,12.09
2024/07/18 17:23:57,9.92
2024/07/18 17:28:57,11.82
2024/07/18 17:33:57,12.84
2024/07/18 17:38:57,11.04
2024/07/18 17:43:57,13.31
2024/07/18 17:48:57,14.68
2024/07/18 17:53:57,13.31
2024/07/18 17:58:57,11.13
2024/07/18 18:03:57,16.17
2024/07/18 18:08:57,3.87
2024/07/18 18:13:57,14.46
2024/07/18 18:18:57,16.63
2024/07/18 18:23:57,14.96
2024/07/18 18:28:57,12.97
2024/07/18 18:33:57,14.28
2024/07/18 18:38:57,13.83
2024/07/18 18:43:57,13.17
2024/07/18 18:48:57,14.15
2024/07/18 18:53:56,15.87
2024/07/18 18:58:56,11.49
2024/07/18 19:03:56,12.19
2024/07/18 19:08:56,12.42
2024/07/18 19:13:56,10.37
2024/07/18 19:18:56,10.09
2024/07/18 19:23:55,10.03
2024/07/18 19:28:55,10.36
2024/07/18 19:33:55,8.8
2024/07/18 19:38:55,7.47
2024/07/18 19:43:55,12.1
2024/07/18 19:48:55,9.61
