Time,Value
2024/07/21 23:59:59,1102
2024/07/22 00:00:00,75
2024/07/22 00:00:01,75
2024/07/22 00:00:02,71
2024/07/22 00:00:03,66
2024/07/22 00:00:04,62
2024/07/22 00:00:05,75
2024/07/22 00:00:06,79
2024/07/22 00:00:07,74
2024/07/22 00:00:08,76
2024/07/22 00:00:09,85
2024/07/22 00:00:10,92
2024/07/22 00:00:11,90
2024/07/22 00:00:12,92
2024/07/22 00:00:13,91
2024/07/22 00:00:14,73
2024/07/22 00:00:15,73
2024/07/22 00:00:16,86
2024/07/22 00:00:17,79
2024/07/22 00:00:18,70
2024/07/22 00:00:19,73
2024/07/22 00:00:20,90
2024/07/22 00:00:21,64
2024/07/22 00:00:22,74
2024/07/22 00:00:23,68
2024/07/22 00:00:24,63
2024/07/22 00:00:25,76
2024/07/22 00:00:26,96
2024/07/22 00:00:27,82
2024/07/22 00:00:28,67
2024/07/22 00:00:29,92
2024/07/22 00:00:30,66
2024/07/22 00:00:31,78
2024/07/22 00:00:32,63
2024/07/22 00:00:33,81
2024/07/22 00:00:34,57
2024/07/22 00:00:35,81
2024/07/22 00:00:36,106
2024/07/22 00:00:37,67
2024/07/22 00:00:38,76
2024/07/22 00:00:39,60
2024/07/22 00:00:40,69
2024/07/22 00:00:41,66
2024/07/22 00:00:42,88
2024/07/22 00:00:43,57
2024/07/22 00:00:44,59
2024/07/22 00:00:45,65
2024/07/22 00:00:46,87
2024/07/22 00:00:47,66
2024/07/22 00:00:48,70
2024/07/22 00:00:49,93
2024/07/22 00:00:50,67
2024/07/22 00:00:51,86
2024/07/22 00:00:52,62
2024/07/22 00:00:53,69
2024/07/22 00:00:54,59
2024/07/22 00:00:55,80
2024/07/22 00:00:56,72
2024/07/22 00:00:57,67
2024/07/22 00:00:58,65
2024/07/22 00:00:59,80
2024/07/22 00:01:00,74
2024/07/22 00:01:01,82
2024/07/22 00:01:02,64
2024/07/22 00:01:03,64
2024/07/22 00:01:04,62
2024/07/22 00:01:05,76
2024/07/22 00:01:06,73
2024/07/22 00:01:07,95
2024/07/22 00:01:08,70
2024/07/22 00:01:09,66
2024/07/22 00:01:10,68
2024/07/22 00:01:11,58
2024/07/22 00:01:12,66
2024/07/22 00:01:13,67
2024/07/22 00:01:14,61
2024/07/22 00:01:15,73
2024/07/22 00:01:15,72
2024/07/22 00:01:16,57
2024/07/22 00:01:17,91
2024/07/22 00:01:18,75
2024/07/22 00:01:19,66
2024/07/22 00:01:20,65
2024/07/22 00:01:21,69
2024/07/22 00:01:22,74
2024/07/22 00:01:23,57
2024/07/22 00:01:24,58
2024/07/22 00:01:25,87
2024/07/22 00:01:26,60
2024/07/22 00:01:27,77
2024/07/22 00:01:28,62
2024/07/22 00:01:29,93
2024/07/22 00:01:30,71
2024/07/22 00:01:31,65
2024/07/22 00:01:32,61
2024/07/22 00:01:33,72
2024/07/22 00:01:34,54
2024/07/22 00:01:35,64
2024/07/22 00:01:36,63
2024/07/22 00:01:37,71
2024/07/22 00:01:38,76
2024/07/22 00:01:39,59
2024/07/22 00:01:40,62
2024/07/22 00:01:41,69
2024/07/22 00:01:42,59
2024/07/22 00:01:43,64
2024/07/22 00:01:44,69
2024/07/22 00:01:45,57
2024/07/22 00:01:46,73
2024/07/22 00:01:47,88
2024/07/22 00:01:48,79
2024/07/22 00:01:49,80
2024/07/22 00:01:50,85
2024/07/22 00:01:51,86
2024/07/22 00:01:52,70
2024/07/22 00:01:53,93
2024/07/22 00:01:54,78
2024/07/22 00:01:55,90
2024/07/22 00:01:56,82
2024/07/22 00:01:57,87
2024/07/22 00:01:58,68
2024/07/22 00:01:59,109
2024/07/22 00:02:00,61
2024/07/22 00:02:01,88
2024/07/22 00:02:02,59
2024/07/22 00:02:03,78
2024/07/22 00:02:04,86
2024/07/22 00:02:05,170
2024/07/22 00:02:06,58
2024/07/22 00:02:07,93
2024/07/22 00:02:08,67
2024/07/22 00:02:09,87
2024/07/22 00:02:10,73
2024/07/22 00:02:11,83
2024/07/22 00:02:12,58
2024/07/22 00:02:13,68
2024/07/22 00:02:14,60
2024/07/22 00:02:15,59
2024/07/22 00:02:16,69
2024/07/22 00:02:17,76
2024/07/22 00:02:18,93
2024/07/22 00:02:19,94
2024/07/22 00:02:20,81
2024/07/22 00:02:21,88
2024/07/22 00:02:22,82
2024/07/22 00:02:23,62
2024/07/22 00:02:24,65
2024/07/22 00:02:25,59
2024/07/22 00:02:26,59
2024/07/22 00:02:27,76
2024/07/22 00:02:28,76
2024/07/22 00:02:29,61
2024/07/22 00:02:30,71
2024/07/22 00:02:31,67
2024/07/22 00:02:32,61
2024/07/22 00:02:33,65
2024/07/22 00:02:34,82
2024/07/22 00:02:35,67
2024/07/22 00:02:36,70
2024/07/22 00:02:37,80
2024/07/22 00:02:38,79
2024/07/22 00:02:39,66
2024/07/22 00:02:40,62
2024/07/22 00:02:41,104
2024/07/22 00:02:42,65
2024/07/22 00:02:43,66
2024/07/22 00:02:44,60
2024/07/22 00:02:45,74
2024/07/22 00:02:46,86
2024/07/22 00:02:47,86
2024/07/22 00:02:48,83
2024/07/22 00:02:49,76
2024/07/22 00:02:50,67
2024/07/22 00:02:51,90
2024/07/22 00:02:52,69
2024/07/22 00:02:53,54
2024/07/22 00:02:54,66
2024/07/22 00:02:55,60
2024/07/22 00:02:56,69
2024/07/22 00:02:57,61
2024/07/22 00:02:58,65
2024/07/22 00:02:59,86
2024/07/22 00:03:00,84
2024/07/22 00:03:01,68
2024/07/22 00:03:02,54
2024/07/22 00:03:03,83
2024/07/22 00:03:04,64
2024/07/22 00:03:05,74
2024/07/22 00:03:06,77
2024/07/22 00:03:07,60
2024/07/22 00:03:08,64
2024/07/22 00:03:09,73
2024/07/22 00:03:10,58
2024/07/22 00:03:11,73
2024/07/22 00:03:12,68
2024/07/22 00:03:13,111
2024/07/22 00:03:14,85
2024/07/22 00:03:14,116
2024/07/22 00:03:15,78
2024/07/22 00:03:16,74
2024/07/22 00:03:17,96
2024/07/22 00:03:18,73
2024/07/22 00:03:19,73
2024/07/22 00:03:20,62
2024/07/22 00:03:21,65
2024/07/22 00:03:22,109
2024/07/22 00:03:23,79
2024/07/22 00:03:24,69
2024/07/22 00:03:25,79
2024/07/22 00:03:26,67
2024/07/22 00:03:27,68
2024/07/22 00:03:28,74
2024/07/22 00:03:29,67
2024/07/22 00:03:30,80
2024/07/22 00:03:31,68
2024/07/22 00:03:32,70
2024/07/22 00:03:33,80
2024/07/22 00:03:34,81
2024/07/22 00:03:35,79
2024/07/22 00:03:36,61
2024/07/22 00:03:37,74
2024/07/22 00:03:38,72
2024/07/22 00:03:39,64
2024/07/22 00:03:40,57
2024/07/22 00:03:41,85
2024/07/22 00:03:42,76
2024/07/22 00:03:43,83
2024/07/22 00:03:44,410
2024/07/22 00:03:45,376
2024/07/22 00:03:46,504
2024/07/22 00:03:47,132
2024/07/22 00:03:48,342
2024/07/22 00:03:49,414
2024/07/22 00:03:50,68
2024/07/22 00:03:51,93
2024/07/22 00:03:52,67
2024/07/22 00:03:53,65
2024/07/22 00:03:54,75
2024/07/22 00:03:55,63
2024/07/22 00:03:56,58
2024/07/22 00:03:57,74
2024/07/22 00:03:58,64
2024/07/22 00:03:59,69
2024/07/22 00:04:00,71
2024/07/22 00:04:01,59
2024/07/22 00:04:02,65
2024/07/22 00:04:03,60
2024/07/22 00:04:04,64
2024/07/22 00:04:05,71
2024/07/22 00:04:06,61
2024/07/22 00:04:07,79
2024/07/22 00:04:08,81
2024/07/22 00:04:09,62
2024/07/22 00:04:10,59
2024/07/22 00:04:11,82
2024/07/22 00:04:12,60
2024/07/22 00:04:13,75
2024/07/22 00:04:14,61
2024/07/22 00:04:15,76
2024/07/22 00:04:16,59
2024/07/22 00:04:17,76
2024/07/22 00:04:18,88
2024/07/22 00:04:19,74
2024/07/22 00:04:20,84
2024/07/22 00:04:21,82
2024/07/22 00:04:22,73
2024/07/22 00:04:23,81
2024/07/22 00:04:24,82
2024/07/22 00:04:25,66
2024/07/22 00:04:26,93
2024/07/22 00:04:27,76
2024/07/22 00:04:28,82
2024/07/22 00:04:29,66
2024/07/22 00:04:30,76
2024/07/22 00:04:31,72
2024/07/22 00:04:32,80
