Time,Value
2024/09/15 17:34:11,-1
2024/09/15 17:39:11,893.39
2024/09/15 17:44:11,-1
2024/09/15 17:49:11,59.41
2024/09/15 17:54:11,83.47
2024/09/15 17:59:11,-1
2024/09/15 18:04:11,-1
2024/09/15 18:09:11,-1
2024/09/15 18:14:11,-1
2024/09/15 18:19:11,-1
2024/09/15 18:24:11,886.17
2024/09/15 18:29:11,-1
2024/09/15 18:34:11,-1
2024/09/15 18:39:11,-1
2024/09/15 18:44:11,885.99
2024/09/15 18:49:11,-1
2024/09/15 18:54:11,-1
2024/09/15 18:59:11,-1
2024/09/15 19:04:11,-1
2024/09/15 19:09:11,886.34
2024/09/15 19:14:11,862.77
2024/09/15 19:19:11,-1
2024/09/15 19:24:11,-1
2024/09/15 19:29:11,-1
2024/09/15 19:34:10,842.78
2024/09/15 19:39:10,888.38
2024/09/15 19:44:10,37.27
2024/09/15 19:49:10,865.17
2024/09/15 19:54:09,860.84
2024/09/15 19:59:09,761.3
2024/09/15 20:04:09,870.07
2024/09/15 20:09:09,872.08
2024/09/15 20:14:09,687.58
2024/09/15 20:19:09,785.46
2024/09/15 20:24:09,902.55
2024/09/15 20:29:09,851.78
2024/09/15 20:34:09,892.09
2024/09/15 20:39:09,889.71
2024/09/15 20:44:09,890.38
2024/09/15 20:49:09,853.28
2024/09/15 20:54:09,895.48
2024/09/15 20:59:09,174.09
2024/09/15 21:04:09,887.08
2024/09/15 21:09:08,897.88
2024/09/15 21:14:08,905.19
2024/09/15 21:19:08,834.47
2024/09/15 21:24:08,901.76
2024/09/15 21:29:08,875.29
2024/09/15 21:34:08,903.44
2024/09/15 21:39:08,898.74
2024/09/15 21:44:08,-1
2024/09/15 21:49:08,-1
2024/09/15 21:54:08,-1
2024/09/15 21:59:08,877.19
2024/09/15 22:04:08,-1
2024/09/15 22:09:08,885.42
2024/09/15 22:14:08,-1
2024/09/15 22:19:08,789.57
2024/09/15 22:24:08,887.98
2024/09/15 22:29:08,890.59
2024/09/15 22:34:08,884.55
2024/09/15 22:39:08,498.71
2024/09/15 22:44:08,888.92
2024/09/15 22:49:08,837.88
2024/09/15 22:54:08,847.69
2024/09/15 22:59:08,896.59
2024/09/15 23:04:08,117.51
2024/09/15 23:09:08,867.08
2024/09/15 23:14:08,887.18
2024/09/15 23:19:08,882.04
2024/09/15 23:24:08,890.54
2024/09/15 23:29:08,888.7
2024/09/15 23:34:08,882.98
2024/09/15 23:39:08,892
2024/09/15 23:44:08,901.64
2024/09/15 23:49:08,861.45
2024/09/15 23:54:07,904.78
2024/09/15 23:59:07,424.49
