Time,Value
2024/09/15 17:34:11,83
2024/09/15 17:34:12,108
2024/09/15 17:34:13,252
2024/09/15 17:34:14,329
2024/09/15 17:34:15,283
2024/09/15 17:34:16,475
2024/09/15 17:34:17,550
2024/09/15 17:34:18,338
2024/09/15 17:34:19,300
2024/09/15 17:34:20,675
2024/09/15 17:34:21,526
2024/09/15 17:34:22,119
2024/09/15 17:34:23,741
2024/09/15 17:34:24,652
2024/09/15 17:34:25,493
2024/09/15 17:34:26,886
2024/09/15 17:34:27,555
2024/09/15 17:34:28,88
2024/09/15 17:34:29,89
2024/09/15 17:34:30,87
2024/09/15 17:34:31,85
2024/09/15 17:34:32,105
2024/09/15 17:34:33,85
2024/09/15 17:34:34,89
2024/09/15 17:34:35,100
2024/09/15 17:34:36,101
2024/09/15 17:34:37,112
2024/09/15 17:34:37,117
2024/09/15 17:34:38,92
2024/09/15 17:34:39,86
2024/09/15 17:34:40,87
2024/09/15 17:34:41,88
2024/09/15 17:34:42,88
2024/09/15 17:34:43,85
2024/09/15 17:34:44,87
2024/09/15 17:34:45,96
2024/09/15 17:34:46,100
2024/09/15 17:34:47,88
2024/09/15 17:34:48,116
2024/09/15 17:34:49,86
2024/09/15 17:34:50,91
2024/09/15 17:34:51,125
2024/09/15 17:34:52,92
2024/09/15 17:34:52,90
2024/09/15 17:34:53,99
2024/09/15 17:34:54,96
2024/09/15 17:34:55,319
2024/09/15 17:34:56,96
2024/09/15 17:34:57,90
2024/09/15 17:34:58,95
2024/09/15 17:34:59,97
2024/09/15 17:35:00,95
2024/09/15 17:35:01,84
2024/09/15 17:35:02,91
2024/09/15 17:35:03,90
2024/09/15 17:35:04,94
2024/09/15 17:35:05,132
2024/09/15 17:35:06,352
2024/09/15 17:35:07,424
2024/09/15 17:35:08,521
2024/09/15 17:35:09,455
2024/09/15 17:35:10,769
2024/09/15 17:35:11,663
2024/09/15 17:35:12,626
2024/09/15 17:35:13,712
2024/09/15 17:35:14,974
2024/09/15 17:35:15,992
2024/09/15 17:35:16,937
2024/09/15 17:35:17,610
2024/09/15 17:35:18,343
2024/09/15 17:35:19,85
2024/09/15 17:35:20,92
2024/09/15 17:35:21,94
2024/09/15 17:35:22,100
2024/09/15 17:35:23,81
2024/09/15 17:35:24,85
2024/09/15 17:35:25,95
2024/09/15 17:35:26,92
2024/09/15 17:35:27,111
2024/09/15 17:35:28,106
2024/09/15 17:35:29,92
2024/09/15 17:35:30,90
2024/09/15 17:35:31,84
2024/09/15 17:35:32,93
2024/09/15 17:35:33,99
2024/09/15 17:35:34,130
2024/09/15 17:35:35,203
2024/09/15 17:35:36,120
2024/09/15 17:35:37,107
2024/09/15 17:35:38,92
2024/09/15 17:35:39,87
2024/09/15 17:35:40,91
2024/09/15 17:35:41,87
2024/09/15 17:35:42,97
2024/09/15 17:35:43,211
2024/09/15 17:35:44,91
2024/09/15 17:35:45,94
2024/09/15 17:35:46,91
2024/09/15 17:35:47,97
2024/09/15 17:35:48,80
2024/09/15 17:35:49,92
2024/09/15 17:35:50,111
2024/09/15 17:35:51,88
2024/09/15 17:35:51,94
2024/09/15 17:35:52,92
2024/09/15 17:35:53,109
2024/09/15 17:35:54,114
2024/09/15 17:35:55,138
2024/09/15 17:35:56,91
2024/09/15 17:35:58,108
2024/09/15 17:35:59,98
2024/09/15 17:36:00,93
2024/09/15 17:36:01,86
2024/09/15 17:36:02,94
2024/09/15 17:36:03,245
2024/09/15 17:36:04,95
2024/09/15 17:36:05,86
2024/09/15 17:36:06,91
2024/09/15 17:36:07,109
2024/09/15 17:36:08,93
2024/09/15 17:36:09,109
2024/09/15 17:36:10,110
2024/09/15 17:36:11,143
2024/09/15 17:36:12,155
2024/09/15 17:36:13,127
2024/09/15 17:36:14,120
2024/09/15 17:36:15,113
2024/09/15 17:36:15,116
2024/09/15 17:36:16,127
2024/09/15 17:36:17,89
2024/09/15 17:36:18,91
2024/09/15 17:36:19,96
2024/09/15 17:36:20,102
2024/09/15 17:36:21,115
2024/09/15 17:36:22,87
2024/09/15 17:36:23,84
2024/09/15 17:36:24,92
2024/09/15 17:36:25,87
2024/09/15 17:36:26,85
2024/09/15 17:36:27,91
2024/09/15 17:36:28,92
2024/09/15 17:36:29,89
2024/09/15 17:36:30,190
2024/09/15 17:36:31,98
2024/09/15 17:36:32,96
2024/09/15 17:36:33,112
2024/09/15 17:36:34,108
2024/09/15 17:36:35,105
2024/09/15 17:36:36,95
2024/09/15 17:36:37,93
2024/09/15 17:36:38,98
2024/09/15 17:36:39,87
2024/09/15 17:36:40,87
2024/09/15 17:36:41,96
2024/09/15 17:36:42,89
2024/09/15 17:36:43,95
2024/09/15 17:36:44,104
2024/09/15 17:36:45,89
2024/09/15 17:36:46,106
2024/09/15 17:36:47,88
2024/09/15 17:36:48,90
2024/09/15 17:36:49,89
2024/09/15 17:36:50,92
2024/09/15 17:36:51,96
2024/09/15 17:36:52,102
2024/09/15 17:36:53,89
2024/09/15 17:36:54,91
2024/09/15 17:36:55,88
2024/09/15 17:36:56,99
2024/09/15 17:36:57,100
2024/09/15 17:36:58,98
2024/09/15 17:36:59,109
2024/09/15 17:37:00,105
2024/09/15 17:37:01,100
2024/09/15 17:37:02,90
2024/09/15 17:37:03,124
2024/09/15 17:37:04,105
2024/09/15 17:37:05,92
2024/09/15 17:37:06,98
2024/09/15 17:37:07,88
2024/09/15 17:37:08,100
2024/09/15 17:37:09,102
2024/09/15 17:37:10,93
2024/09/15 17:37:11,91
2024/09/15 17:37:12,84
2024/09/15 17:37:12,88
2024/09/15 17:37:13,86
2024/09/15 17:37:14,84
2024/09/15 17:37:15,84
2024/09/15 17:37:16,88
2024/09/15 17:37:17,88
2024/09/15 17:37:18,100
2024/09/15 17:37:19,104
2024/09/15 17:37:20,87
2024/09/15 17:37:21,90
2024/09/15 17:37:22,100
2024/09/15 17:37:23,137
2024/09/15 17:37:24,103
2024/09/15 17:37:25,104
2024/09/15 17:37:26,92
2024/09/15 17:37:27,106
2024/09/15 17:37:28,108
2024/09/15 17:37:29,110
2024/09/15 17:37:30,87
2024/09/15 17:37:31,86
2024/09/15 17:37:32,90
2024/09/15 17:37:33,85
2024/09/15 17:37:34,96
2024/09/15 17:37:35,100
2024/09/15 17:37:36,85
2024/09/15 17:37:37,86
2024/09/15 17:37:38,90
2024/09/15 17:37:39,89
2024/09/15 17:37:40,113
2024/09/15 17:37:41,99
2024/09/15 17:37:42,89
2024/09/15 17:37:43,98
2024/09/15 17:37:44,83
2024/09/15 17:37:45,86
2024/09/15 17:37:46,113
2024/09/15 17:37:47,94
2024/09/15 17:37:48,92
2024/09/15 17:37:49,90
2024/09/15 17:37:50,111
2024/09/15 17:37:51,152
2024/09/15 17:37:52,95
2024/09/15 17:37:53,184
2024/09/15 17:37:54,101
2024/09/15 17:37:55,85
2024/09/15 17:37:56,122
2024/09/15 17:37:57,97
2024/09/15 17:37:58,98
2024/09/15 17:37:59,101
2024/09/15 17:38:00,87
2024/09/15 17:38:01,84
2024/09/15 17:38:02,93
2024/09/15 17:38:03,146
2024/09/15 17:38:04,91
2024/09/15 17:38:05,95
2024/09/15 17:38:06,97
2024/09/15 17:38:07,96
2024/09/15 17:38:08,101
2024/09/15 17:38:09,101
2024/09/15 17:38:10,85
2024/09/15 17:38:11,85
2024/09/15 17:38:12,90
2024/09/15 17:38:13,108
2024/09/15 17:38:14,107
2024/09/15 17:38:15,104
2024/09/15 17:38:15,92
2024/09/15 17:38:16,86
2024/09/15 17:38:17,86
2024/09/15 17:38:18,99
2024/09/15 17:38:19,94
2024/09/15 17:38:20,96
2024/09/15 17:38:21,86
2024/09/15 17:38:22,84
2024/09/15 17:38:23,97
2024/09/15 17:38:24,109
2024/09/15 17:38:25,86
2024/09/15 17:38:26,98
2024/09/15 17:38:27,92
2024/09/15 17:38:28,91
2024/09/15 17:38:29,106
2024/09/15 17:38:30,86
2024/09/15 17:38:31,137
2024/09/15 17:38:32,89
2024/09/15 17:38:33,353
2024/09/15 17:38:34,108
2024/09/15 17:38:35,96
2024/09/15 17:38:36,90
2024/09/15 17:38:37,88
2024/09/15 17:38:38,98
2024/09/15 17:38:39,98
2024/09/15 17:38:40,95
2024/09/15 17:38:41,89
2024/09/15 17:38:42,102
2024/09/15 17:38:43,87
2024/09/15 17:38:44,94
2024/09/15 17:38:45,99
2024/09/15 17:38:46,113
2024/09/15 17:38:47,93
2024/09/15 17:38:48,83
2024/09/15 17:38:49,95
2024/09/15 17:38:50,98
2024/09/15 17:38:51,94
2024/09/15 17:38:52,128
2024/09/15 17:38:53,109
2024/09/15 17:38:54,86
2024/09/15 17:38:55,88
2024/09/15 17:38:56,92
2024/09/15 17:38:57,90
2024/09/15 17:38:58,88
2024/09/15 17:38:59,94
2024/09/15 17:39:00,95
2024/09/15 17:39:01,87
2024/09/15 17:39:02,93
2024/09/15 17:39:03,94
2024/09/15 17:39:04,93
2024/09/15 17:39:05,355
2024/09/15 17:39:06,106
2024/09/15 17:39:07,87
2024/09/15 17:39:08,86
2024/09/15 17:39:09,86
2024/09/15 17:39:10,84
2024/09/15 17:39:11,87
2024/09/15 17:39:12,97
2024/09/15 17:39:13,105
2024/09/15 17:39:14,180
2024/09/15 17:39:15,226
2024/09/15 17:39:16,175
2024/09/15 17:39:17,349
2024/09/15 17:39:18,346
2024/09/15 17:39:19,455
2024/09/15 17:39:20,474
2024/09/15 17:39:21,480
2024/09/15 17:39:22,559
2024/09/15 17:39:23,609
2024/09/15 17:39:24,1527
2024/09/15 17:39:25,740
2024/09/15 17:39:26,500
2024/09/15 17:39:27,494
2024/09/15 17:39:28,406
2024/09/15 17:39:29,123
2024/09/15 17:39:30,113
2024/09/15 17:39:31,312
2024/09/15 17:39:32,237
2024/09/15 17:39:33,118
2024/09/15 17:39:34,90
2024/09/15 17:39:35,149
2024/09/15 17:39:36,141
2024/09/15 17:39:37,-1
2024/09/15 17:39:41,114
2024/09/15 17:39:42,125
2024/09/15 17:39:43,118
2024/09/15 17:39:44,122
2024/09/15 17:39:45,147
2024/09/15 17:39:46,108
2024/09/15 17:39:47,92
2024/09/15 17:39:48,119
2024/09/15 17:39:49,123
2024/09/15 17:39:50,94
2024/09/15 17:39:50,97
2024/09/15 17:39:51,94
2024/09/15 17:39:52,91
2024/09/15 17:39:53,104
2024/09/15 17:39:54,105
2024/09/15 17:39:55,127
2024/09/15 17:39:56,387
